author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311696893/;Москва;rent;flat;4;5;4;190.0;1018000;0;Хамовники;Большой Знаменский переулок;4;Кропоткинская
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/251682915/;Москва;rent;flat;8;13;-1;32.0;81900;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/266453571/;Москва;rent;flat;2;13;-1;32.0;84900;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311132770/;Москва;rent;flat;8;24;1;32.3;98000;0;Хорошево-Мневники;Шелепихинская набережная;40к3;Шелепиха
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311054568/;Москва;rent;flat;10;41;1;49.5;125000;0;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313881124/;Москва;rent;flat;9;12;3;130.0;400000;0;Якиманка; Серафимовича;2;Боровицкая
ID 61852171;homeowner;https://www.cian.ru/rent/flat/313418172/;Москва;rent;flat;25;31;1;39.0;120000;0;Хорошево-Мневники;Карамышевская набережная;2А;Народное Ополчение
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313089616/;Москва;rent;flat;19;28;4;101.0;231400;0;Филевский парк; Василисы Кожиной;13;Парк Победы
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313875991/;Москва;rent;flat;9;10;3;130.0;400000;0;Якиманка; Серафимовича;2;Боровицкая
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/309013893/;Москва;rent;flat;15;26;3;152.0;595000;0;Беговой;Верхняя ;20к1;Белорусская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311392044/;Москва;rent;flat;21;32;3;70.0;400000;0;Дорогомилово;Поклонная ;9;Поклонная
Василий Мельник;realtor;https://www.cian.ru/rent/flat/287243064/;Москва;rent;flat;36;36;1;36.8;100000;0;Хорошево-Мневники;Шелепихинская набережная;42к3;Шелепиха
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313343994/;Москва;rent;flat;15;27;3;152.0;600000;0;Беговой;Верхняя ;20к1;Белорусская
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/313904273/;Москва;rent;flat;9;12;3;130.0;400000;0;Якиманка; Серафимовича;2;Боровицкая
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313400982/;Москва;rent;flat;15;33;2;50.0;176300;0;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312934389/;Москва;rent;flat;21;24;3;68.0;147490;0;Щукино; Берзарина;30А;Бульвар Генерала Карбышева
Moscow Estate Group;real_estate_agent;https://www.cian.ru/rent/flat/311058970/;Москва;rent;flat;4;7;3;135.0;260000;0;Басманный;переулок Лялин;19К1;Курская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312254363/;Москва;rent;flat;17;22;3;140.0;350000;0;Красносельский;Грохольский переулок;28;Проспект Мира
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313087253/;Москва;rent;flat;51;79;3;109.0;600000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
ID 121504938;homeowner;https://www.cian.ru/rent/flat/313980775/;Москва;rent;flat;9;19;1;39.0;40000;0;Некрасовка;Рождественская ;4;Некрасовка
ID 88729001;realtor;https://www.cian.ru/rent/flat/313444918/;Москва;rent;flat;3;22;2;60.0;65000;0;Богородское;Краснобогатырская ;9;Белокаменная
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310225105/;Москва;rent;flat;5;7;-1;724.0;6000000;0;Хамовники;Пречистенская набережная;17-19;Кропоткинская
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/313096176/;Москва;rent;flat;2;28;-1;24.0;60000;0;Щукино;Волоколамское шоссе;24к1;Стрешнево
ID 88729001;realtor;https://www.cian.ru/rent/flat/313578258/;Москва;rent;flat;15;17;1;25.0;50000;0;Текстильщики;1-й Грайвороновский проезд;3Ак1;Текстильщики
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310966562/;Москва;rent;flat;2;5;1;31.0;50000;0;Перово;Мастеровая ;4;Перово
NIKA ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/312076185/;Москва;rent;flat;5;5;-1;633.0;3000000;0;Хамовники; Пречистенка;27;Парк Культуры
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312774972/;Москва;rent;flat;2;18;1;47.1;49500;0;; Александры Монаховой;98к1;Бунинская аллея
Александра Терентьева;realtor;https://www.cian.ru/rent/flat/313655202/;Москва;rent;flat;13;15;3;65.0;170000;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312307564/;Москва;rent;flat;4;5;5;150.0;470000;0;Пресненский; Спиридоновка;36С1;Баррикадная
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/313946866/;Москва;rent;flat;9;18;-1;15.0;50000;0;Останкинский;Березовая аллея;19к6;Ботанический сад
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/311355042/;Москва;rent;flat;6;7;3;71.0;330000;0;Пресненский;Садовая-Кудринская ;21А;Маяковская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312620700/;Москва;rent;flat;6;7;3;71.0;330000;0;Пресненский;Садовая-Кудринская ;21А;Маяковская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312945065/;Москва;rent;flat;14;17;1;23.3;39000;0;Южное Бутово;Варшавское шоссе;284к3;Бутово
