author_type,floor,floors_count,rooms_count,total_meters,price_per_month,district,street,underground
unknown,11,26,1,20.6,69990,Нагатино-Садовники,Нагатинская набережная,Нагатинская
real_estate_agent,12,22,1,17.4,80000,Тропарево-Никулино,Ленинский проспект,Юго-Западная
real_estate_agent,6,28,1,42.0,94400,Можайский, Петра Алексеева,Давыдково
real_estate_agent,8,24,2,56.6,82500,Выхино-Жулебино,Волгоградский проспект,Юго-Восточная
homeowner,8,14,1,39.0,75000,Братеево,Алма-Атинская ,Алма-Атинская
real_estate_agent,3,15,2,47.0,116900,Хорошевский,Ходынский бульвар,ЦСКА
unknown,13,22,1,55.0,90000,Фили-Давыдково, Ватутина,Кунцевская
real_estate_agent,3,15,3,92.0,500000,Пресненский,2-я Звенигородская ,Улица 1905 года
real_estate_agent,3,13,2,47.0,118900,Хорошевский,Ходынский бульвар,ЦСКА
real_estate_agent,3,21,3,92.0,500000,Пресненский,2-я Звенигородская ,Улица 1905 года
real_estate_agent,1,5,1,50.2,55600,Куркино,Куркинское шоссе,Химки
real_estate_agent,8,24,1,24.0,63900,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная
real_estate_agent,18,25,1,35.2,78200,Хорошево-Мневники, Народного Ополчения,Народное Ополчение
real_estate_agent,7,24,1,20.0,75000,Очаково-Матвеевское,Озерная ,Озёрная
real_estate_agent,12,13,2,56.0,149700,Филевский парк, Василисы Кожиной,Парк Победы
real_estate_agent,11,13,2,64.0,158400,Филевский парк, Василисы Кожиной,Парк Победы
real_estate_agent,2,6,4,160.0,900000,Хамовники,переулок Коробейников,Парк Культуры
real_estate_agent,2,7,4,89.0,260000,Пресненский,Богословский переулок,Пушкинская
real_estate_agent,21,25,1,25.0,63000,, Анны Ахматовой,Рассказовка
realtor,1,17,1,40.0,65000,Митино,Митинская ,Митино
real_estate_agent,1,7,2,51.9,78200,, 5-я Лесные Поляны,Коммунарка
real_estate_agent,14,20,2,70.0,170000,Якиманка, Шаболовка,Шаболовская
real_estate_agent,16,24,2,49.0,145000,Хорошевский,Хорошевское шоссе,Полежаевская
real_estate_agent,6,6,2,130.0,580000,Беговой, 3-я Ямского Поля,Белорусская
real_estate_agent,5,5,1,13.0,42500,Соколиная гора, Буракова,Сортировочная
real_estate_agent,3,6,4,180.0,400000,Мещанский,Большой Сергиевский переулок,Трубная
real_estate_agent,6,31,3,80.0,300000,Пресненский,Кудринская площадь,Баррикадная
real_estate_agent,4,4,1,40.0,44999,,,Саларьево
real_estate_agent,9,50,2,70.0,450000,Пресненский,Краснопресненская набережная,Москва-Сити
real_estate_agent,7,8,3,120.0,320000,Арбат,переулок Сивцев Вражек,Кропоткинская
real_estate_agent,2,17,2,55.0,74900,Отрадное, Декабристов,Отрадное
real_estate_agent,72,85,3,193.0,700000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,4,8,3,110.0,780000,Якиманка,Софийская набережная,Новокузнецкая
homeowner,15,25,1,28.0,55000,Митино,Муравская ,Пятницкое шоссе
real_estate_agent,45,78,2,58.0,320000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,10,22,4,191.0,290000,Крылатское, Крылатские Холмы,Крылатское
real_estate_agent,11,79,2,62.0,240000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,3,6,3,85.0,320000,Басманный,Малый Златоустинский переулок,Китай-город
real_estate_agent,16,17,1,42.0,44000,,,Аэропорт Внуково
real_estate_agent,3,6,3,140.0,450000,Хамовники,Бутиковский переулок,Парк Культуры
real_estate_agent,34,73,2,108.5,400000,Пресненский,набережная Пресненская,Деловой центр
real_estate_agent,25,32,1,20.0,52000,Бутырский, Руставели,Бутырская
real_estate_agent,3,5,4,145.0,500000,Хамовники,Пожарский переулок,Кропоткинская
real_estate_agent,6,6,2,135.0,590000,Беговой, 3-я Ямского Поля,Белорусская
real_estate_agent,8,9,3,62.8,75000,Рязанский,Рязанский проспект,Рязанский проспект
realtor,8,27,1,45.0,90000,Нагорный,Электролитный проезд,Нагорная
real_estate_agent,10,25,1,19.8,60000,Западное Дегунино,Базовская ,Грачёвская
real_estate_agent,5,8,5,254.0,3000000,Хамовники,Зубовская ,Парк Культуры
realtor,15,21,2,60.0,80000,Чертаново Южное,Варшавское шоссе,Аннино
real_estate_agent,12,13,2,70.0,164800,Филевский парк, Василисы Кожиной,Парк Победы
real_estate_agent,40,44,3,91.0,280000,Пресненский,Ходынская ,Улица 1905 года
real_estate_agent,3,5,2,44.0,67900,Люблино,Таганрогская ,Волжская
real_estate_agent,22,65,2,105.0,350000,Пресненский,набережная Пресненская,Деловой центр
real_estate_agent,2,14,1,28.8,44800,,проспект Куприна,Потапово
real_estate_agent,4,6,2,140.0,450000,Хамовники,Бутиковский переулок,Парк Культуры
